portfolio,total_fees,num_trades,num_trades_saved,taxes_HODL,end_price_HODL,taxes_rebalanced,end_price_rebalanced
DCR-XVG-GRS-DOPE-TX,8509.265787999913,918,0,25311.215701622466,106244.86280648987,122956.13775104488,359819.929652479
MONA-EBST-PPC-BRK-FLO,2986.0794980357527,834,0,5534.070243707876,27136.280974831505,36666.28488214192,87458.98085923189
NAV-XRP-EBST-PIVX-STEEM,2100.6647794611486,764,0,3398.981302155661,18595.925208622644,30338.48170116489,70624.71471594647
VIA-TX-PPC-DCR-LTC,770.4895302279026,630,0,4038.0921654191916,21152.368661676766,12397.883823137729,39573.36090718421
SBD-SEQ-XLM-RDD-DCR,1747.8627220317615,690,0,5624.457372451276,27497.829489805103,27919.528138864705,78804.35111275662
STRAT-RVR-XMG-BURST-ETC,975.3405707819531,640,0,1865.3536985421806,12461.414794168722,14732.798417336775,30507.94685968189
OK-DMD-LTC-VTC-RBY,2218.0536991395225,738,0,4793.645510786516,24174.582043146063,32471.01246494524,68635.33994781092
XST-ETC-NXS-NEO-SHIFT,3990.856623260022,794,0,22772.77430169376,96091.09720677504,57073.59254706594,137263.59735500714
ABY-XCP-EGC-XRP-ETH,959.1298336124538,648,18,2184.0666407305316,13736.266562922126,15959.111962648112,34708.633733791576
STEEM-ETC-AUR-ERC-IOP,865.6609543656914,708,0,1664.301054513834,11657.204218055336,11443.580743743856,31210.931662372255
ERC-NLG-FTC-STEEM-PTC,1234.9290801011518,688,0,4097.939412868052,21391.75765147221,17521.14661536961,48255.92934790445
ENRG-VIA-SLR-NAV-ERC,1273.3522878944793,744,0,3133.4225717170802,17533.69028686832,16824.48118471082,41421.52653466782
